DateTime,AddedIPs,RemovedIPs
1584781321,9,18
1584781921,2,0
1584782521,7,10
1584783721,15,24
1584784321,0,5
1584784922,5,3
1584786122,1,12
1584786721,3,0
1584787321,2,6
1584787921,2,3
1584789121,3,10
